C %t_{MS-GPU-A}% %t_{PB-GPU-A}% %t_{MS-GPU-W}% %t_{PB-GPU-W}% %t_{MS-CPU-A}% %t_{PB-CPU-A}% %t_{MS-CPUx4-A}% %t_{PB-CPUx4-A}%
100 12.1022 12.2997 0.0694 0.0600 0.6576 0.4883 0.6409 0.6104
400 12.8166 12.6660 0.0603 0.0605 2.2585 2.2890 2.2267 4.9078
900 14.8644 12.7411 0.0600 0.0600 5.4311 5.3411 6.4655 4.3339
1600 15.0160 14.8939 0.0597 0.0600 11.8724 10.5548 11.0179 6.7145
2500 14.8024 14.7719 0.0611 0.0600 19.3122 18.9927 8.9911 8.8814
3600 14.9855 14.6193 0.0600 0.0600 28.8579 24.4160 13.4290 12.3302
4900 14.7108 14.1920 0.0648 0.0600 35.7699 33.3627 20.6321 15.62291
6400 20.7844 20.9370 0.0603 0.0600 46.7572 41.9045 23.0124 21.3948
8100 21.1513 14.2250 0.0614 0.0605 66.1682 51.6358 30.2457 24.3854
10000 18.8562 13.9783 0.0605 0.0605 78.8126 67.2364 37.7262 33.1756
12100 18.0344 18.6441 0.0603 0.0605 90.4626 81.0926 45.9026 39.1882 
14400 20.5548 20.9837 0.0605 0.0603 92.0800 81.1842 53.9654 47.6351
